Scenario,Zone,n_year,Energy Demand (TWh p.a.),HVDC Loss (TWh p.a.),Solar (GW),Solar (TWh p.a.),Wind (GW),Wind (TWh p.a.),Hydro & Bio (GW),Hydro & Bio (TWh p.a.),Pumped Hydro (GW),Pumped Hydro (GWh),HVDC FNQ-QLD (GW),HVDC NSW-QLD (GW),HVDC NSW-SA (GW),HVDC NSW-VIC (GW),HVDC NT-SA (GW),HVDC SA-WA (GW),HVDC TAS-VIC (GW),LCOE ($/MWh),LCOG ($/MWh),LCOB (storage),LCOB (transmission),LCOB (spillage & loss),zone capacity
11,None,-1,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,0.0
12,None,-1,0.32081,0.0,0.122965,0.273697,0.064068,0.249872,0.0,0.0,0.076204,1.696069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.308704,45.305474,33.056225,2.312884,28.63412,0.0
13,None,-1,94.770978,0.0,33.521326,71.350383,15.946993,61.230361,0.565566,0.224602,15.590078,344.949108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.286812,46.739886,22.810174,1.978666,18.758085,0.0
14,None,-1,22.889837,0.0,9.239229,19.672894,3.636394,13.178468,0.02141,0.000968,4.341977,120.891967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.103837,47.871919,30.4605,1.935809,20.835608,0.0
15,None,-1,14.278818,0.0,0.0,0.0,0.747317,3.456056,2.294226,11.257522,0.686111,1.548388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.248855,47.298221,3.001967,0.508537,1.44013,0.0
16,None,-1,97.506157,0.0,22.050927,41.783377,27.882423,106.657555,2.35196,0.531564,15.224988,705.734985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.985143,48.323831,36.156483,2.998228,25.506601,0.0
17,None,-1,47.127635,0.0,18.720574,37.996077,11.582644,47.696159,0.0,0.0,9.460064,327.720287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.777878,45.94198,37.467506,2.774015,37.594378,0.0
21,None,-1,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.0
22,None,-1,392.969889,6.782328,105.028283,217.790961,76.62471,295.110442,7.78139,10.631205,51.27783,531.958353,0.0,21.604075,22.874159,24.874564,0.0,9.531288,2.11675,87.947384,47.163106,12.09043,11.920602,16.773246,0.0
23,None,-1,346.163063,4.741135,96.072975,202.074643,63.391982,242.328411,7.78139,11.110763,46.539789,481.195802,0.0,17.953855,14.490246,24.539847,0.75311,0.0,2.265765,84.786862,47.117512,12.358677,9.565562,15.74511,0.0
24,None,-1,393.290698,7.392192,95.943003,200.721775,81.226697,311.816966,7.78139,10.510279,49.693818,519.775096,0.0,21.798594,30.276756,22.627405,1.632009,9.842676,2.133337,88.430003,47.022121,11.757508,12.938446,16.711928,0.0
25,None,-1,350.025961,6.742007,57.353715,118.992895,60.770506,244.248826,7.78139,19.462538,42.016954,680.606029,16.11655,19.919662,11.819585,19.506671,0.0,0.0,1.865685,75.87603,45.821508,13.809882,10.982822,5.261818,0.0
26,None,-1,397.153596,9.777743,65.247943,135.30144,69.014767,278.164945,7.78139,19.228302,46.627096,746.061244,20.067476,21.06795,15.335959,18.056211,0.0,9.005698,1.674077,77.158622,45.719785,13.526436,12.563675,5.348726,0.0
27,None,-1,350.34677,7.395422,51.133844,106.468758,63.099477,254.398696,7.78139,19.486543,39.762908,684.483837,16.217634,16.695393,13.547318,19.11077,3.170443,0.0,1.731002,75.262851,45.560328,13.51289,11.220774,4.968859,0.0
28,None,-1,397.474405,9.766326,59.365823,122.948317,71.758233,291.375672,7.78139,19.493175,44.868628,736.924671,17.502526,30.463185,15.473773,19.549076,2.139312,8.946166,1.724991,77.752853,45.400087,13.180376,13.773079,5.399311,0.0
31,None,-1,345.842253,4.538247,115.205494,232.651827,77.894609,274.203689,7.78139,9.971575,48.101189,443.879331,0.0,20.343891,30.128923,28.233696,0.0,0.0,2.705599,100.972265,50.120645,12.189938,12.886039,25.775643,0.0
32,None,-1,392.969889,6.031332,90.758957,186.057355,87.566628,324.389787,7.78139,10.343873,38.036502,330.483381,0.0,18.483581,22.983107,29.288238,0.0,11.909961,2.428913,86.146897,48.380538,8.228638,12.801591,16.73613,0.0
11,all,10,116.396463,0.0,40.194998,83.436311,16.984723,59.961531,2.548228,2.455204,19.336501,554.124489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.564919,49.172181,27.195295,1.753384,12.444059,16.076604827594455
11,all,25,116.396463,0.0,42.032069,87.448313,16.888956,58.687738,2.548228,2.021382,19.48076,526.364024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.972177,49.387606,26.347506,1.760725,13.47634,16.076604827594455
11,[0],10,116.396463,0.0,44.551552,92.657892,14.952106,52.047292,2.548228,2.327367,19.711884,530.374827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.407074,49.240239,26.586502,1.620074,12.960259,3.454179258123069
11,[0],25,116.396463,0.0,41.799357,86.7059,17.477932,61.355624,2.548228,1.628401,19.194453,509.325723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.857584,49.295547,25.653837,1.807949,14.100251,3.454179258123069
11,[1],10,116.396463,0.0,40.44065,84.086337,15.994286,57.029548,2.548228,2.691684,19.40567,545.740886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.038086,48.898694,26.951104,1.672756,11.515533,0.2300926139506138
11,[1],25,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,0.2300926139506138
11,[2],10,116.396463,0.0,38.751726,80.447361,17.609906,62.083311,2.548228,2.401571,19.298663,535.672309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.671196,49.236821,26.569941,1.793525,12.070909,0.044433406228407
11,[2],25,116.396463,0.0,34.94656,72.683284,19.42476,69.353789,2.548228,2.08944,19.334308,563.464101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.090994,49.001717,27.50195,1.91326,11.674067,0.044433406228407
11,[3],10,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,0.1831336145872946
11,[3],25,116.396463,0.0,41.397355,86.0797,15.578995,55.521912,2.548228,2.694608,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.047144,48.885679,26.797693,1.646074,11.717698,0.1831336145872946
11,[4],10,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,36.3889530214998
11,[4],25,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,36.3889530214998
11,[5],10,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,0.0507763800451925
11,[5],25,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,0.0507763800451925
11,[6],10,116.396463,0.0,40.546785,84.315913,16.076605,57.295296,2.548228,2.592272,19.40567,541.083934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.066956,48.905312,26.797693,1.680513,11.683439,0.1952162701599888
11,[6],25,116.396463,0.0,40.092388,83.412273,16.256001,57.90182,2.548228,2.625453,19.379841,543.547664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.045065,48.912269,26.86691,1.691696,11.574189,0.1952162701599888
11,[7],10,116.396463,0.0,41.894122,87.185853,16.603032,58.219123,2.548228,2.047232,19.3879,516.086254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.020723,49.193661,25.965994,1.735706,13.125363,4.644015260932978
11,[7],25,116.396463,0.0,41.076634,85.230461,16.882457,59.089409,2.548228,2.279921,19.395636,520.077326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.996299,49.33998,26.101046,1.752207,12.803066,4.644015260932978
21,all,10,345.842253,5.288469,58.85899,121.232895,90.710763,335.044303,7.78139,10.576475,49.099127,607.088972,0.0,17.479048,26.461746,24.469573,0.0,0.0,1.686762,91.948418,48.351327,14.212121,11.453097,17.931873,68.57198040258699
21,all,25,345.842253,5.377505,69.494136,142.689252,82.983191,313.361038,7.78139,10.969475,45.846002,523.462171,0.0,19.417324,24.468838,24.063988,0.0,0.0,1.831953,89.466833,47.710801,12.759757,11.261571,17.734703,68.57198040258699
21,[ 3 24 25],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,29.145291151721715
21,[ 3 24 25],25,345.842253,5.096919,78.348815,162.931502,76.826729,289.016999,7.78139,11.374098,47.665545,502.424401,0.0,19.601917,23.169988,22.267314,0.0,0.0,2.017239,88.443432,47.683352,12.799915,10.8069,17.153265,29.145291151721715
