station no.,station name,latitude,longitude,altitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations,closestZone,distanceToZone,distanceToCentroid,inZone
086344,SOUTH CHANNEL ISLAND                    ,-38.3065,144.8016,9.0,8.252011,6.681818181818182,0.0123281950405998,1.1095827386311723,7.437040079871219,1998-12-08 11:00:00,29.999789083333333,410386.0,26,40.49816903253692,190.68203441887124,False
087113,AVALON AIRPORT                          ,-38.0288,144.4783,10.6,6.571457,6.072727272727272,0.0079261611990236,1.2853549808577585,5.112561904723273,1994-10-03 09:00:00,29.99994,451038.0,26,14.45127333840941,154.39618595697226,False
087163,GROVEDALE (GEELONG AIRPORT)             ,-38.2241,144.3345,33.4,6.801224,6.990476190476191,0.0180174699175392,1.4784143537778287,4.60035051360306,1991-09-01 09:00:00,29.99991415,322317.0,26,3.867884499727364,138.3482205675317,False
087166,POINT WILSON                            ,-38.0958,144.5361,18.0,7.5332675,5.833333333333333,0.0088306239133406,1.2126500584987523,6.212235298402954,1991-09-01 09:00:00,28.902409316666667,457441.0,26,15.677945299080264,160.56940416326805,False
087184,BREAKWATER (GEELONG RACECOURSE)         ,-38.1737,144.3765,12.9,6.0477524,7.304932735426009,0.0198825112848185,1.763762837793227,3.428892054409016,2011-06-06 11:30:00,29.99985555,207440.0,26,1.2265304508866957,142.82837256998073,False
090035,COLAC (MOUNT GELLIBRAND)                ,-38.2333,143.7924,261.0,8.240595,7.769430051813472,0.0134867402941804,1.194619507747252,6.898091660524834,2000-07-24 13:30:00,29.99992465,392878.0,26,0.0,78.33476622178851,True
090173,HAMILTON AIRPORT                        ,-37.6486,142.0636,241.1,8.336665,7.535248041775457,0.0218135799902267,1.6014970774145834,5.205545031004315,1995-06-09 04:00:00,29.888855316666664,442682.0,26,37.30255026649856,122.17989507301232,False
090175,PORT FAIRY AWS                          ,-38.3906,142.2347,10.0,8.447954,8.638113570741098,0.0359230749334646,1.6094303088158948,5.2490338547630895,1991-09-01 09:00:00,29.99994585,527346.0,26,5.297639991806365,98.0232700143327,False
090176,MORTLAKE RACECOURSE                     ,-38.0737,142.7744,130.0,7.715492,7.33861551292744,0.039866379832758,1.809949226243388,4.2628222161302105,1991-09-01 09:00:00,29.99994585,528722.0,26,0.0,35.76956506860299,True
090180,AIREYS INLET                            ,-38.4583,144.0883,105.0,7.4699726,8.155470249520153,0.0286504043344344,1.563024574754877,4.779177967592172,1991-09-01 09:00:00,29.99994585,530111.0,26,20.311449009869882,114.466919105913,False
090186,WARRNAMBOOL AIRPORT NDB                 ,-38.2869,142.4524,70.8,8.05158,7.544871794871795,0.0245427860995112,1.537399078202389,5.237144046223507,1998-09-02 11:00:00,29.99993045,425014.0,26,0.0,72.43327636701015,True
