station no.,station name,latitude,longitude,altitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations,closestZone,distanceToZone,distanceToCentroid,inZone
091104,LAUNCESTON AIRPORT COMPARISON           ,-41.5397,147.2033,166.0,6.223383,6.043478260869565,0.012538121015510773,1.5696375904247835,3.9648534080691182,1990-10-05 17:00:00,29.98554825,155259,24,36.695534063899764,70.57334730489566,False
091237,LAUNCESTON (TI TREE BEND)               ,-41.4194,147.1219,5.0,5.517305,8.409785932721713,0.020898806393271352,1.897646580783824,2.907445966587426,1999-10-15 13:00:00,29.999781433333332,360789,24,48.94056732854982,83.88673383795758,False
091306,CRESSY RESEARCH STATION                 ,-41.7256,147.0794,148.0,6.325494,7.047904191616767,0.018707272916820727,1.5044056712162348,4.204646348778517,2000-06-30 12:00:00,28.713203866666667,326787,24,14.67260816655126,59.72670976178143,False
091311,LAUNCESTON AIRPORT                      ,-41.5476,147.2156,166.9,6.3953533,7.372549019607843,0.009051734206608764,1.3490376282096412,4.740678231302011,2004-07-14 16:00:00,29.999908683333334,326283,24,35.97779037324929,69.53499015799555,False
092012,FINGAL (LEGGE STREET)                   ,-41.6428,147.9664,237.0,4.9386673,6.608695652173913,0.017717196224147025,1.9000806232172003,2.5991882854955763,2001-04-10 11:00:00,30.00008305,292592,24,34.81220245130358,89.67681114091394,False
092100,STORYS CREEK (STORYS CREEK ROAD)        ,-41.635,147.7292,779.2,7.4738994,15.928974979822437,0.32001446350615104,3.864851461414929,1.9338128357810749,1992-05-27 10:00:00,30.00030355,71890,24,32.72581270692133,72.48129912179398,False
092114,FRIENDLY BEACHES                        ,-41.9953,148.2794,55.0,6.8681216,8.561302681992338,0.027981255095672286,1.7361313510105143,3.955991935745722,1997-11-02 17:00:00,29.999798183333333,367314,24,0.0,105.56219013169246,True
092124,MARIA ISLAND (POINT LESUEUR)            ,-42.6621,148.0179,28.0,7.994164,8.323899371069182,0.01836333557062686,1.2246667193549123,6.527624098605082,2004-10-08 17:00:00,29.999722583333334,310052,24,17.733069751225077,81.95228860928222,False
094008,HOBART AIRPORT WEST                     ,-42.8339,147.5033,4.0,7.273921,7.153623188405797,0.028245420466184723,1.6646923253822412,4.3695287723563,1984-12-02 01:00:00,29.994277333333333,442901,24,26.961531606275194,55.13215257713982,False
094029,HOBART (ELLERSLIE ROAD)                 ,-42.8897,147.3278,50.5,5.7155623,7.122549019607843,0.007217328277940305,1.3262294274717596,4.309633178999203,1994-10-20 11:00:00,29.9998197,481920,24,29.804675733043222,58.028656890004285,False
094087,KUNANYI (MOUNT WELLINGTON PINNACLE)     ,-42.895,147.2358,1260.5,14.577116,13.288104279995894,0.26796231543788684,1.6098334733989161,9.05504591216873,1990-07-05 10:30:00,29.999947766666665,528412,24,28.686139539899767,59.97970635628504,False
094195,TUNNACK FIRE STATION                    ,-42.4543,147.4612,461.5,8.39643,9.014324693042292,0.06774648927838134,1.8382890276673725,4.567524414927449,1998-02-13 12:00:00,29.999591866666666,333787,24,0.0,20.584014914166975,True
094212,CAMPANIA (KINCORA)                      ,-42.6867,147.4258,45.0,6.586143,7.2,0.019077123304162336,1.6020751686937522,4.111007489233592,2001-05-23 14:00:00,29.887280116666666,296440,24,9.498342829898844,39.63918183849851,False
094220,GROVE (RESEARCH STATION)                ,-42.9844,147.0756,65.0,5.5539703,7.257698541329011,0.03289766258431159,2.1320042617188943,2.6050465454680953,2005-03-07 08:00:00,29.055914266666665,295092,24,35.47113603520961,73.77299969603516,False
094254,DUNALLEY (STROUD POINT)                 ,-42.9017,147.7894,12.4,8.562824,9.857374392220422,0.04746356602546575,1.577612229781004,5.4277116313025955,2012-04-05 20:00:00,29.999844633333332,192827,24,39.62063752844143,76.1121383664902,False
094255,DENNES POINT                            ,-43.0639,147.3567,5.7,7.348834,8.21549636803874,0.025876781496766754,1.7469165639426627,4.2067458683859416,2012-09-28 10:30:00,29.999837533333334,184574,24,49.31209545856068,74.24426422075543,False
095003,BUSHY PARK (BUSHY PARK ESTATES)         ,-42.7097,146.8983,27.0,4.6503453,6.3,0.005586763618773749,1.5245715948372989,3.0502636551917734,1998-07-22 13:30:00,29.95341765,328315,24,2.2803352174754457,65.61306151493173,False
095048,OUSE FIRE STATION                       ,-42.4842,146.7106,90.0,4.970779,7.029585798816568,0.01299715807907098,1.686243023034133,2.9478425554366465,1999-12-10 11:00:00,29.999779999999998,324163,24,0.0,74.81149762772262,True
096003,BUTLERS GORGE                           ,-42.2753,146.2758,667.0,6.9902415,8.281714285714285,0.11974354944399479,3.0388876986857203,2.300263195175183,2008-05-21 12:00:00,29.999885066666664,259644,24,15.185724580286116,120.46659971995736,False
096033,LIAWENEE                                ,-41.8997,146.6694,1057.0,7.8315535,9.419405320813771,0.05065127821318682,1.5602924740737025,5.019285543767576,2001-01-11 15:00:00,29.99961538333333,331512,24,3.4887791029880297,84.1543065498708,False
096075,BARREN TIER                             ,-42.0197,146.7533,1186.0,9.670485,5.511363636363637,0.08147039880310591,1.6374895634365094,5.905677055157387,1997-01-31 12:30:00,29.99958581666667,60624,24,0.0,71.33391683370968,True
097024,WARRA                                   ,-43.0609,146.704,495.0,7.7259054,10.322606924643585,0.08947096548894395,2.1413799155775837,3.6079097231619106,2004-09-28 15:00:00,29.999723,318298,24,36.954147126973034,103.62330531941325,False
097083,SCOTTS PEAK DAM                         ,-43.0425,146.2722,408.0,6.941533,7.961630695443645,0.01519946016098428,1.0790267608558028,6.433142661984195,1998-10-15 14:00:00,26.184982016666666,310949,24,34.579637959077175,140.5822464910523,False
